,Unnamed: 0.1,Unnamed: 0,ID,CLASS,filename,split,label,species
0,0,0,1,1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,test,0,Black footed Albatross
1,1,1,2,1,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,train,0,Black footed Albatross
2,2,2,3,1,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,test,0,Black footed Albatross
3,3,3,4,1,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,val,0,Black footed Albatross
4,4,4,5,1,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,train,0,Black footed Albatross
5,5,5,6,1,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,test,0,Black footed Albatross
6,6,6,7,1,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,train,0,Black footed Albatross
7,7,7,8,1,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,train,0,Black footed Albatross
8,8,8,9,1,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,train,0,Black footed Albatross
9,9,9,10,1,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,test,0,Black footed Albatross
10,10,10,11,1,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,train,0,Black footed Albatross
11,11,11,12,1,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,test,0,Black footed Albatross
12,12,12,13,1,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,test,0,Black footed Albatross
13,13,13,14,1,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,test,0,Black footed Albatross
14,14,14,15,1,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,train,0,Black footed Albatross
15,15,15,16,1,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,test,0,Black footed Albatross
16,16,16,17,1,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,test,0,Black footed Albatross
17,17,17,18,1,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,train,0,Black footed Albatross
18,18,18,19,1,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,test,0,Black footed Albatross
19,19,19,20,1,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,train,0,Black footed Albatross
20,20,20,21,1,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,train,0,Black footed Albatross
21,21,21,22,1,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,test,0,Black footed Albatross
22,22,22,23,1,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,train,0,Black footed Albatross
23,23,23,24,1,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,test,0,Black footed Albatross
24,24,24,25,1,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,test,0,Black footed Albatross
25,25,25,26,1,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,test,0,Black footed Albatross
26,26,26,27,1,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,test,0,Black footed Albatross
27,27,27,28,1,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,test,0,Black footed Albatross
28,28,28,29,1,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,test,0,Black footed Albatross
29,29,29,30,1,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,train,0,Black footed Albatross
30,30,30,31,1,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,train,0,Black footed Albatross
31,31,31,32,1,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,train,0,Black footed Albatross
32,32,32,33,1,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,test,0,Black footed Albatross
33,33,33,34,1,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,test,0,Black footed Albatross
34,34,34,35,1,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,train,0,Black footed Albatross
35,35,35,36,1,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,train,0,Black footed Albatross
36,36,36,37,1,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,train,0,Black footed Albatross
37,37,37,38,1,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,test,0,Black footed Albatross
38,38,38,39,1,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,test,0,Black footed Albatross
39,39,39,40,1,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,train,0,Black footed Albatross
40,40,40,41,1,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,train,0,Black footed Albatross
41,41,41,42,1,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,train,0,Black footed Albatross
42,42,42,43,1,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,train,0,Black footed Albatross
43,43,43,44,1,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,test,0,Black footed Albatross
44,44,44,45,1,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,test,0,Black footed Albatross
45,45,45,46,1,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,train,0,Black footed Albatross
46,46,46,47,1,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,test,0,Black footed Albatross
47,47,47,48,1,001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,test,0,Black footed Albatross
48,48,48,49,1,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,train,0,Black footed Albatross
49,49,49,50,1,001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,test,0,Black footed Albatross
50,50,50,51,1,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,train,0,Black footed Albatross
